Iter 1410 | Time 3.2530(3.2552) | Bit/dim 1.8022(1.8167) | Logit LogP -1248.0029(-1261.1066) | Steps 145(145.57) | Reg 0.0000(0.0000)
Iter 1420 | Time 3.2192(3.2606) | Bit/dim 1.8168(1.8117) | Logit LogP -1261.2421(-1259.1288) | Steps 145(145.27) | Reg 0.0000(0.0000)
Iter 1430 | Time 3.2079(3.2383) | Bit/dim 1.8026(1.8108) | Logit LogP -1254.3527(-1257.2971) | Steps 151(144.96) | Reg 0.0000(0.0000)
Iter 1440 | Time 3.0813(3.2547) | Bit/dim 1.8571(1.8150) | Logit LogP -1279.1031(-1259.7430) | Steps 145(145.13) | Reg 0.0000(0.0000)
Iter 1450 | Time 3.2039(3.2639) | Bit/dim 1.8043(1.8174) | Logit LogP -1249.5121(-1259.4778) | Steps 145(145.39) | Reg 0.0000(0.0000)
Iter 1460 | Time 3.4899(3.2452) | Bit/dim 1.8395(1.8179) | Logit LogP -1259.8743(-1258.9838) | Steps 157(145.18) | Reg 0.0000(0.0000)
Iter 1470 | Time 3.1491(3.2353) | Bit/dim 1.8003(1.8153) | Logit LogP -1251.3450(-1257.1013) | Steps 145(145.14) | Reg 0.0000(0.0000)
Iter 1480 | Time 3.5299(3.2590) | Bit/dim 1.8488(1.8173) | Logit LogP -1276.2780(-1257.3755) | Steps 157(145.14) | Reg 0.0000(0.0000)
Iter 1490 | Time 3.1188(3.2550) | Bit/dim 1.7769(1.8154) | Logit LogP -1251.0068(-1257.2708) | Steps 145(145.72) | Reg 0.0000(0.0000)
validating...
Epoch 0005 | Time 53.7842, Bit/dim 1.8252, Logit LogP -1264.7914
Iter 1500 | Time 3.2502(3.2779) | Bit/dim 1.7961(1.8126) | Logit LogP -1258.6620(-1256.4381) | Steps 139(145.83) | Reg 0.0000(0.0000)
Iter 1510 | Time 3.2341(3.2664) | Bit/dim 1.7731(1.8115) | Logit LogP -1241.9642(-1255.7456) | Steps 145(145.45) | Reg 0.0000(0.0000)
Iter 1520 | Time 3.3365(3.2580) | Bit/dim 1.8524(1.8130) | Logit LogP -1256.3939(-1255.3644) | Steps 151(145.38) | Reg 0.0000(0.0000)
Iter 1530 | Time 3.0960(3.2419) | Bit/dim 1.8118(1.8116) | Logit LogP -1256.9117(-1255.0607) | Steps 139(145.40) | Reg 0.0000(0.0000)
Iter 1540 | Time 3.0893(3.2392) | Bit/dim 1.7940(1.8097) | Logit LogP -1253.9926(-1254.1815) | Steps 145(145.61) | Reg 0.0000(0.0000)
Iter 1550 | Time 3.5949(3.2599) | Bit/dim 1.8530(1.8118) | Logit LogP -1276.2611(-1255.8269) | Steps 157(145.94) | Reg 0.0000(0.0000)
Iter 1560 | Time 3.5058(3.2507) | Bit/dim 1.8072(1.8091) | Logit LogP -1255.4396(-1255.0271) | Steps 151(145.86) | Reg 0.0000(0.0000)
Iter 1570 | Time 3.1859(3.2590) | Bit/dim 1.8149(1.8069) | Logit LogP -1250.8136(-1253.4520) | Steps 145(145.93) | Reg 0.0000(0.0000)
